ITEMID	KEY	TYPE	CATEGORY	SECTION	DOMAIN	GRADELEVEL	DETAILS
16	CCSS.MATH.CONTENT.K.CC.B.4.B	substandard	Kindergarten: Counting and Cardinality	math-content-standards	Counting and Cardinality	K	Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.
17	CCSS.MATH.CONTENT.K.CC.B.4.C	substandard	Kindergarten: Counting and Cardinality	math-content-standards	Counting and Cardinality	K	Understand that each successive number name refers to a quantity that is one larger.
18	CCSS.MATH.CONTENT.K.CC.B.5	standard	Kindergarten: Counting and Cardinality	math-content-standards	Counting and Cardinality	K	Count to answer `how many?` questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1-20, count out that many objects.
19	CCSS.MATH.CONTENT.K.CC.C	cluster	Kindergarten: Counting and Cardinality	math-content-standards	Counting and Cardinality	K	Compare numbers.
20	CCSS.MATH.CONTENT.K.CC.C.6	standard	Kindergarten: Counting and Cardinality	math-content-standards	Counting and Cardinality	K	Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.
21	CCSS.MATH.CONTENT.K.CC.C.7	standard	Kindergarten: Counting and Cardinality	math-content-standards	Counting and Cardinality	K	Compare two numbers between 1 and 10 presented as written numerals.
22	CCSS.MATH.CONTENT.K.OA.A	cluster	Kindergarten: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	K	Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.
23	CCSS.MATH.CONTENT.K.OA.A.1	standard	Kindergarten: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	K	Represent addition and subtraction with objects, fingers, mental images, drawings, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations.
24	CCSS.MATH.CONTENT.K.OA.A.2	standard	Kindergarten: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	K	Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem.
25	CCSS.MATH.CONTENT.K.OA.A.3	standard	Kindergarten: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	K	Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1).
26	CCSS.MATH.CONTENT.K.OA.A.4	standard	Kindergarten: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	K	For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation.
27	CCSS.MATH.CONTENT.K.OA.A.5	standard	Kindergarten: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	K	Fluently add and subtract within 5.
28	CCSS.MATH.CONTENT.K.NBT.A	cluster	Kindergarten: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	K	Work with numbers 11-19 to gain foundations for place value.
29	CCSS.MATH.CONTENT.K.NBT.A.1	standard	Kindergarten: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	K	Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (such as 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones.
30	CCSS.MATH.CONTENT.K.MD.A	cluster	Kindergarten: Measurement and Data	math-content-standards	Measurement and Data	K	Describe and compare measurable attributes.
31	CCSS.MATH.CONTENT.K.MD.A.1	standard	Kindergarten: Measurement and Data	math-content-standards	Measurement and Data	K	Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object.
32	CCSS.MATH.CONTENT.K.MD.A.2	standard	Kindergarten: Measurement and Data	math-content-standards	Measurement and Data	K	Directly compare two objects with a measurable attribute in common, to see which object has `more of`/`less of` the attribute, and describe the difference.
33	CCSS.MATH.CONTENT.K.MD.B	cluster	Kindergarten: Measurement and Data	math-content-standards	Measurement and Data	K	Classify objects and count the number of objects in each category.
34	CCSS.MATH.CONTENT.K.MD.B.3	standard	Kindergarten: Measurement and Data	math-content-standards	Measurement and Data	K	Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.
35	CCSS.MATH.CONTENT.K.G.A	cluster	Kindergarten: Geometry	math-content-standards	Geometry	K	Identify and describe shapes.
36	CCSS.MATH.CONTENT.K.G.A.1	standard	Kindergarten: Geometry	math-content-standards	Geometry	K	Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to.
37	CCSS.MATH.CONTENT.K.G.A.2	standard	Kindergarten: Geometry	math-content-standards	Geometry	K	Correctly name shapes regardless of their orientations or overall size.
38	CCSS.MATH.CONTENT.K.G.A.3	standard	Kindergarten: Geometry	math-content-standards	Geometry	K	Identify shapes as two-dimensional (lying in a plane, `flat`) or three-dimensional (`solid`).
39	CCSS.MATH.CONTENT.K.G.B	cluster	Kindergarten: Geometry	math-content-standards	Geometry	K	Analyze, compare, create, and compose shapes.
40	CCSS.MATH.CONTENT.K.G.B.4	standard	Kindergarten: Geometry	math-content-standards	Geometry	K	Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/`corners`) and other attributes (e.g., having sides of equal length).
41	CCSS.MATH.CONTENT.K.G.B.5	standard	Kindergarten: Geometry	math-content-standards	Geometry	K	Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes.
42	CCSS.MATH.CONTENT.K.G.B.6	standard	Kindergarten: Geometry	math-content-standards	Geometry	K	Compose simple shapes to form larger shapes.
43	CCSS.MATH.CONTENT.1.OA.A	cluster	Grade 1: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	1	Represent and solve problems involving addition and subtraction.
44	CCSS.MATH.CONTENT.1.OA.A.1	standard	Grade 1: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	1	Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.
45	CCSS.MATH.CONTENT.1.OA.A.2	standard	Grade 1: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	1	Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.
46	CCSS.MATH.CONTENT.1.OA.B	cluster	Grade 1: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	1	Understand and apply properties of operations and the relationship between addition and subtraction.
47	CCSS.MATH.CONTENT.1.OA.B.3	standard	Grade 1: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	1	Apply properties of operations as strategies to add and subtract.
48	CCSS.MATH.CONTENT.1.OA.B.4	standard	Grade 1: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	1	Understand subtraction as an unknown-addend problem.
49	CCSS.MATH.CONTENT.1.OA.C	cluster	Grade 1: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	1	Add and subtract within 20.
50	CCSS.MATH.CONTENT.1.OA.C.5	standard	Grade 1: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	1	Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).
51	CCSS.MATH.CONTENT.1.OA.C.6	standard	Grade 1: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	1	Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 - 4 = 13 - 3 - 1 = 10 - 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 - 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13).
52	CCSS.MATH.CONTENT.1.OA.D	cluster	Grade 1: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	1	Work with addition and subtraction equations.
53	CCSS.MATH.CONTENT.1.OA.D.7	standard	Grade 1: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	1	Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false.
54	CCSS.MATH.CONTENT.1.OA.D.8	standard	Grade 1: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	1	Determine the unknown whole number in an addition or subtraction equation relating three whole numbers.
55	CCSS.MATH.CONTENT.1.NBT.A	cluster	Grade 1: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	1	Extend the counting sequence.
56	CCSS.MATH.CONTENT.1.NBT.A.1	standard	Grade 1: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	1	Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral.
57	CCSS.MATH.CONTENT.1.NBT.B	cluster	Grade 1: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	1	Understand place value.
58	CCSS.MATH.CONTENT.1.NBT.B.2	standard	Grade 1: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	1	Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:
59	CCSS.MATH.CONTENT.1.NBT.B.2.A	substandard	Grade 1: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	1	10 can be thought of as a bundle of ten ones — called a `ten.`
60	CCSS.MATH.CONTENT.1.NBT.B.2.B	substandard	Grade 1: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	1	The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones.
61	CCSS.MATH.CONTENT.1.NBT.B.2.C	substandard	Grade 1: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	1	The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones).
62	CCSS.MATH.CONTENT.1.NBT.B.3	standard	Grade 1: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	1	Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <.
63	CCSS.MATH.CONTENT.1.NBT.C	cluster	Grade 1: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	1	Use place value understanding and properties of operations to add and subtract.
64	CCSS.MATH.CONTENT.1.NBT.C.4	standard	Grade 1: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	1	Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten.
65	CCSS.MATH.CONTENT.1.NBT.C.5	standard	Grade 1: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	1	Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used.
66	CCSS.MATH.CONTENT.1.NBT.C.6	standard	Grade 1: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	1	Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.
67	CCSS.MATH.CONTENT.1.MD.A	cluster	Grade 1: Measurement and Data	math-content-standards	Measurement and Data	1	Measure lengths indirectly and by iterating length units.
68	CCSS.MATH.CONTENT.1.MD.A.1	standard	Grade 1: Measurement and Data	math-content-standards	Measurement and Data	1	Order three objects by length; compare the lengths of two objects indirectly by using a third object.
69	CCSS.MATH.CONTENT.1.MD.A.2	standard	Grade 1: Measurement and Data	math-content-standards	Measurement and Data	1	Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. Limit to contexts where the object being measured is spanned by a whole number of length units with no gaps or overlaps.
70	CCSS.MATH.CONTENT.1.MD.B	cluster	Grade 1: Measurement and Data	math-content-standards	Measurement and Data	1	Tell and write time.
71	CCSS.MATH.CONTENT.1.MD.B.3	standard	Grade 1: Measurement and Data	math-content-standards	Measurement and Data	1	Tell and write time in hours and half-hours using analog and digital clocks.
72	CCSS.MATH.CONTENT.1.MD.C	cluster	Grade 1: Measurement and Data	math-content-standards	Measurement and Data	1	Represent and interpret data.
73	CCSS.MATH.CONTENT.1.MD.C.4	standard	Grade 1: Measurement and Data	math-content-standards	Measurement and Data	1	Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another.
74	CCSS.MATH.CONTENT.1.G.A	cluster	Grade 1: Geometry	math-content-standards	Geometry	1	Reason with shapes and their attributes.
75	CCSS.MATH.CONTENT.1.G.A.1	standard	Grade 1: Geometry	math-content-standards	Geometry	1	Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes.
76	CCSS.MATH.CONTENT.1.G.A.2	standard	Grade 1: Geometry	math-content-standards	Geometry	1	Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.
77	CCSS.MATH.CONTENT.1.G.A.3	standard	Grade 1: Geometry	math-content-standards	Geometry	1	Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.
78	CCSS.MATH.CONTENT.2.OA.A	cluster	Grade 2: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	2	Represent and solve problems involving addition and subtraction.
79	CCSS.MATH.CONTENT.2.OA.A.1	standard	Grade 2: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	2	Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.
80	CCSS.MATH.CONTENT.2.OA.B	cluster	Grade 2: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	2	Add and subtract within 20.
81	CCSS.MATH.CONTENT.2.OA.B.2	standard	Grade 2: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	2	Fluently add and subtract within 20 using mental strategies.2 By end of Grade 2, know from memory all sums of two one-digit numbers.
82	CCSS.MATH.CONTENT.2.OA.C	cluster	Grade 2: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	2	Work with equal groups of objects to gain foundations for multiplication.
83	CCSS.MATH.CONTENT.2.OA.C.3	standard	Grade 2: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	2	Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends.
84	CCSS.MATH.CONTENT.2.OA.C.4	standard	Grade 2: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	2	Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.
85	CCSS.MATH.CONTENT.2.NBT.A	cluster	Grade 2: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	2	Understand place value.
86	CCSS.MATH.CONTENT.2.NBT.A.1	standard	Grade 2: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	2	Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:
87	CCSS.MATH.CONTENT.2.NBT.A.1.A	substandard	Grade 2: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	2	100 can be thought of as a bundle of ten tens — called a `hundred.`
88	CCSS.MATH.CONTENT.2.NBT.A.1.B	substandard	Grade 2: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	2	The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).
89	CCSS.MATH.CONTENT.2.NBT.A.2	standard	Grade 2: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	2	Count within 1000; skip-count by 5s, 10s, and 100s.
90	CCSS.MATH.CONTENT.2.NBT.A.3	standard	Grade 2: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	2	Read and write numbers to 1000 using base-ten numerals, number names, and expanded form.
91	CCSS.MATH.CONTENT.2.NBT.A.4	standard	Grade 2: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	2	Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons.
92	CCSS.MATH.CONTENT.2.NBT.B	cluster	Grade 2: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	2	Use place value understanding and properties of operations to add and subtract.
93	CCSS.MATH.CONTENT.2.NBT.B.5	standard	Grade 2: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	2	Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction.
94	CCSS.MATH.CONTENT.2.NBT.B.6	standard	Grade 2: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	2	Add up to four two-digit numbers using strategies based on place value and properties of operations.
95	CCSS.MATH.CONTENT.2.NBT.B.7	standard	Grade 2: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	2	Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds.
96	CCSS.MATH.CONTENT.2.NBT.B.8	standard	Grade 2: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	2	Mentally add 10 or 100 to a given number 100-900, and mentally subtract 10 or 100 from a given number 100-900.
97	CCSS.MATH.CONTENT.2.NBT.B.9	standard	Grade 2: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	2	Explain why addition and subtraction strategies work, using place value and the properties of operations.
98	CCSS.MATH.CONTENT.2.MD.A	cluster	Grade 2: Measurement and Data	math-content-standards	Measurement and Data	2	Measure and estimate lengths in standard units.
99	CCSS.MATH.CONTENT.2.MD.A.1	standard	Grade 2: Measurement and Data	math-content-standards	Measurement and Data	2	Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes.
100	CCSS.MATH.CONTENT.2.MD.A.2	standard	Grade 2: Measurement and Data	math-content-standards	Measurement and Data	2	Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen.
101	CCSS.MATH.CONTENT.2.MD.A.3	standard	Grade 2: Measurement and Data	math-content-standards	Measurement and Data	2	Estimate lengths using units of inches, feet, centimeters, and meters.
102	CCSS.MATH.CONTENT.2.MD.A.4	standard	Grade 2: Measurement and Data	math-content-standards	Measurement and Data	2	Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit.
103	CCSS.MATH.CONTENT.2.MD.B	cluster	Grade 2: Measurement and Data	math-content-standards	Measurement and Data	2	Relate addition and subtraction to length.
104	CCSS.MATH.CONTENT.2.MD.B.5	standard	Grade 2: Measurement and Data	math-content-standards	Measurement and Data	2	Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem.
105	CCSS.MATH.CONTENT.2.MD.B.6	standard	Grade 2: Measurement and Data	math-content-standards	Measurement and Data	2	Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, ..., and represent whole-number sums and differences within 100 on a number line diagram.
106	CCSS.MATH.CONTENT.2.MD.C	cluster	Grade 2: Measurement and Data	math-content-standards	Measurement and Data	2	Work with time and money.
107	CCSS.MATH.CONTENT.2.MD.C.7	standard	Grade 2: Measurement and Data	math-content-standards	Measurement and Data	2	Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m.
108	CCSS.MATH.CONTENT.2.MD.C.8	standard	Grade 2: Measurement and Data	math-content-standards	Measurement and Data	2	Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ¢ symbols appropriately. Example: If you have 2 dimes and 3 pennies, how many cents do you have?
109	CCSS.MATH.CONTENT.2.MD.D	cluster	Grade 2: Measurement and Data	math-content-standards	Measurement and Data	2	Represent and interpret data.
110	CCSS.MATH.CONTENT.2.MD.D.10	standard	Grade 2: Measurement and Data	math-content-standards	Measurement and Data	2	Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems1 using information presented in a bar graph.
111	CCSS.MATH.CONTENT.2.MD.D.9	standard	Grade 2: Measurement and Data	math-content-standards	Measurement and Data	2	Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units.
112	CCSS.MATH.CONTENT.2.G.A	cluster	Grade 2: Geometry	math-content-standards	Geometry	2	Reason with shapes and their attributes.
113	CCSS.MATH.CONTENT.2.G.A.1	standard	Grade 2: Geometry	math-content-standards	Geometry	2	Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces.1 Identify triangles, quadrilaterals, pentagons, hexagons, and cubes.
114	CCSS.MATH.CONTENT.2.G.A.2	standard	Grade 2: Geometry	math-content-standards	Geometry	2	Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.
115	CCSS.MATH.CONTENT.2.G.A.3	standard	Grade 2: Geometry	math-content-standards	Geometry	2	Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape.
116	CCSS.MATH.CONTENT.3.OA.A	cluster	Grade 3: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	3	Represent and solve problems involving multiplication and division.
117	CCSS.MATH.CONTENT.3.OA.A.1	standard	Grade 3: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	3	Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each.
118	CCSS.MATH.CONTENT.3.OA.A.2	standard	Grade 3: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	3	Interpret whole-number quotients of whole numbers, e.g., interpret 56 ÷ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each.
119	CCSS.MATH.CONTENT.3.OA.A.3	standard	Grade 3: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	3	Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.
120	CCSS.MATH.CONTENT.3.OA.A.4	standard	Grade 3: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	3	Determine the unknown whole number in a multiplication or division equation relating three whole numbers.
121	CCSS.MATH.CONTENT.3.OA.B	cluster	Grade 3: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	3	Understand properties of multiplication and the relationship between multiplication and division.
122	CCSS.MATH.CONTENT.3.OA.B.5	standard	Grade 3: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	3	Apply properties of operations as strategies to multiply and divide.
123	CCSS.MATH.CONTENT.3.OA.B.6	standard	Grade 3: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	3	Understand division as an unknown-factor problem.
124	CCSS.MATH.CONTENT.3.OA.C	cluster	Grade 3: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	3	Multiply and divide within 100.
125	CCSS.MATH.CONTENT.3.OA.C.7	standard	Grade 3: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	3	Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 × 5 = 40, one knows 40 ÷ 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers.
126	CCSS.MATH.CONTENT.3.OA.D	cluster	Grade 3: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	3	Solve problems involving the four operations, and identify and explain patterns in arithmetic.
127	CCSS.MATH.CONTENT.3.OA.D.8	standard	Grade 3: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	3	Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.
128	CCSS.MATH.CONTENT.3.OA.D.9	standard	Grade 3: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	3	Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations.
